,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Unnamed: 0,Position_two_wks,Track Name,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk,neg_lyric_score,neu_lyric_score,pos_lyric_score,com_lyric_score,neg_twitter_artist_score,neu_twitter_artist_score,pos_twitter_artist_score,com_twitter_artist_score
931,3PYx9Wte3jwb48V0wArMOy,Keanu Reeves,Logic,4xRYI6VqpkE3UwrDrAZL8L,4234420,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",87,0.712,0.891,2,-6.457,1,0.24,0.0557,0.0,0.134,0.799,170.13,0.891,3PYx9Wte3jwb48V0wArMOy,spotify:track:3PYx9Wte3jwb48V0wArMOy,https://api.spotify.com/v1/tracks/3PYx9Wte3jwb48V0wArMOy,https://api.spotify.com/v1/audio-analysis/3PYx9Wte3jwb48V0wArMOy,225920,4,197,,Keanu Reeves,,,,187,Logic,4445415,https://open.spotify.com/track/1JIgaRnqtzS7DuGM3hVZU9,0,0,0,0,0,0,0,0
932,6700Z4Izi8EbB6JNthU6Ma,Hold Me While You Wait,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,1690925,"['pop', 'uk pop']",91,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,0.53,6700Z4Izi8EbB6JNthU6Ma,spotify:track:6700Z4Izi8EbB6JNthU6Ma,https://api.spotify.com/v1/tracks/6700Z4Izi8EbB6JNthU6Ma,https://api.spotify.com/v1/audio-analysis/6700Z4Izi8EbB6JNthU6Ma,205687,4,198,,Hold Me While You Wait,,,,193,Lewis Capaldi,4358522,https://open.spotify.com/track/6700Z4Izi8EbB6JNthU6Ma,0,0,0,0,0,0,0,0
933,6700Z4Izi8EbB6JNthU6Ma,Hold Me While You Wait,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,1690925,"['pop', 'uk pop']",91,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,0.53,6700Z4Izi8EbB6JNthU6Ma,spotify:track:6700Z4Izi8EbB6JNthU6Ma,https://api.spotify.com/v1/tracks/6700Z4Izi8EbB6JNthU6Ma,https://api.spotify.com/v1/audio-analysis/6700Z4Izi8EbB6JNthU6Ma,205687,4,198,,Hold Me While You Wait,,,,193,Lewis Capaldi,4358522,https://open.spotify.com/track/6700Z4Izi8EbB6JNthU6Ma,0,0,0,0,0,0,0,0
934,1mT47pKLXUwPYGwB91GcNz,Créeme,KAROL G,790FomKkXshlbRYZFtlgla,7288619,"['latin', 'reggaeton']",89,0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,0.872,1mT47pKLXUwPYGwB91GcNz,spotify:track:1mT47pKLXUwPYGwB91GcNz,https://api.spotify.com/v1/tracks/1mT47pKLXUwPYGwB91GcNz,https://api.spotify.com/v1/audio-analysis/1mT47pKLXUwPYGwB91GcNz,212493,4,199,,Créeme,,,,194,KAROL G,4350731,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,0,0,0,0,0,0,0,0
935,1mT47pKLXUwPYGwB91GcNz,Créeme,KAROL G,790FomKkXshlbRYZFtlgla,7288619,"['latin', 'reggaeton']",89,0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,0.872,1mT47pKLXUwPYGwB91GcNz,spotify:track:1mT47pKLXUwPYGwB91GcNz,https://api.spotify.com/v1/tracks/1mT47pKLXUwPYGwB91GcNz,https://api.spotify.com/v1/audio-analysis/1mT47pKLXUwPYGwB91GcNz,212493,4,199,,Créeme,,,,194,KAROL G,4350731,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,0,0,0,0,0,0,0,0
936,23OXdR7YuUBVWh5hSnYJau,Chlorine,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,15328954,"['modern rock', 'rock']",87,0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,0.674,23OXdR7YuUBVWh5hSnYJau,spotify:track:23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/tracks/23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/audio-analysis/23OXdR7YuUBVWh5hSnYJau,324467,4,200,,Chlorine,,,,200,Twenty One Pilots,4314824,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau,0,0,0,0,0,0,0,0
937,23OXdR7YuUBVWh5hSnYJau,Chlorine,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,15328954,"['modern rock', 'rock']",87,0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,0.674,23OXdR7YuUBVWh5hSnYJau,spotify:track:23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/tracks/23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/audio-analysis/23OXdR7YuUBVWh5hSnYJau,324467,4,200,,Chlorine,,,,200,Twenty One Pilots,4314824,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau,0,0,0,0,0,0,0,0
938,4cbdPT6uaBOgOQe3fLMofl,Power is Power (feat. The Weeknd & Travis Scott),SZA,7tYKF4w9nC0nq9CsPZTHyP,2932521,"['hip hop', 'pop', 'pop rap', 'rap']",84,0.507,0.644,4,-7.485,1,0.0641,0.00413,0.0,0.217,0.172,179.913,0.644,4cbdPT6uaBOgOQe3fLMofl,spotify:track:4cbdPT6uaBOgOQe3fLMofl,https://api.spotify.com/v1/tracks/4cbdPT6uaBOgOQe3fLMofl,https://api.spotify.com/v1/audio-analysis/4cbdPT6uaBOgOQe3fLMofl,211267,4,179,,Power is Power (feat. The Weeknd & Travis Scott),,,,47,SZA,9734321,https://open.spotify.com/track/4cbdPT6uaBOgOQe3fLMofl,0,0,0,0,0,0,0,0
939,4cbdPT6uaBOgOQe3fLMofl,Power is Power (feat. The Weeknd & Travis Scott),SZA,7tYKF4w9nC0nq9CsPZTHyP,2932521,"['hip hop', 'pop', 'pop rap', 'rap']",84,0.507,0.644,4,-7.485,1,0.0641,0.00413,0.0,0.217,0.172,179.913,0.644,4cbdPT6uaBOgOQe3fLMofl,spotify:track:4cbdPT6uaBOgOQe3fLMofl,https://api.spotify.com/v1/tracks/4cbdPT6uaBOgOQe3fLMofl,https://api.spotify.com/v1/audio-analysis/4cbdPT6uaBOgOQe3fLMofl,211267,4,179,,Power is Power (feat. The Weeknd & Travis Scott),,,,47,SZA,9734321,https://open.spotify.com/track/4cbdPT6uaBOgOQe3fLMofl,0,0,0,0,0,0,0,0
940,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,56oDRnqbIiwx4mymNEv7dS,1554987,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",88,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,0.624,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325,4,180,,Truth Hurts,,,,49,Lizzo,9099342,https://open.spotify.com/track/4HFpIAtiojlAuYNmITpYGn,0,0,0,0,0,0,0,0
941,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,56oDRnqbIiwx4mymNEv7dS,1554987,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",88,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,0.624,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325,4,180,,Truth Hurts,,,,49,Lizzo,9099342,https://open.spotify.com/track/4HFpIAtiojlAuYNmITpYGn,0,0,0,0,0,0,0,0
942,44ZJ4hLD5onikKsVLQaILr,Vossi Bop,Stormzy,2SrSdSvpminqmStGELCSNd,1130124,"['grime', 'uk hip hop']",83,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,0.653,44ZJ4hLD5onikKsVLQaILr,spotify:track:44ZJ4hLD5onikKsVLQaILr,https://api.spotify.com/v1/tracks/44ZJ4hLD5onikKsVLQaILr,https://api.spotify.com/v1/audio-analysis/44ZJ4hLD5onikKsVLQaILr,196267,4,181,,Vossi Bop,,,,64,Stormzy,8245515,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr,0,0,0,0,0,0,0,0
943,44ZJ4hLD5onikKsVLQaILr,Vossi Bop,Stormzy,2SrSdSvpminqmStGELCSNd,1130124,"['grime', 'uk hip hop']",83,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,0.653,44ZJ4hLD5onikKsVLQaILr,spotify:track:44ZJ4hLD5onikKsVLQaILr,https://api.spotify.com/v1/tracks/44ZJ4hLD5onikKsVLQaILr,https://api.spotify.com/v1/audio-analysis/44ZJ4hLD5onikKsVLQaILr,196267,4,181,,Vossi Bop,,,,64,Stormzy,8245515,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr,0,0,0,0,0,0,0,0
944,4Q8aDd3H6LF8t4eY7So9O8,Light It Up (with Tyga & Chris Brown),Marshmello,64KEffDW9EtZ1y2vBYgq8T,18720303,"['brostep', 'progressive electro house']",90,0.81,0.625,11,-3.593,0,0.071,0.0407,1.53e-06,0.118,0.598,100.019,0.625,4Q8aDd3H6LF8t4eY7So9O8,spotify:track:4Q8aDd3H6LF8t4eY7So9O8,https://api.spotify.com/v1/tracks/4Q8aDd3H6LF8t4eY7So9O8,https://api.spotify.com/v1/audio-analysis/4Q8aDd3H6LF8t4eY7So9O8,137448,4,182,,Light It Up (with Tyga & Chris Brown),,,,66,Marshmello,8224969,https://open.spotify.com/track/4Q8aDd3H6LF8t4eY7So9O8,0,0,0,0,0,0,0,0
