,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
112,2pfio0uHpT4USTPBNeTIWo,Berlin lebt wie nie zuvor,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,2814424,['german hip hop'],87
113,5WrEilrRI5cIW0DxMvQYPZ,Jopping,SuperM,5BHFSMEjfLVx1JwRWjAOsE,298797,['k-pop'],70
114,3TTMUI5dFcbeNSDTTDY9M8,Come Thru (with Usher),Summer Walker,57LYzLEk2LcFghVwuWbcuS,703494,"['pop', 'pop rap']",86
115,4IJEw3fDvS6XF4sDc3bvjK,AYA,Murda,2y1VzMKAa5nmfXKtJL9jnj,18831,"['basshall', 'dutch hip hop', 'dutch urban']",72
116,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,7191718,"['pop rap', 'rap']",97
117,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,0YinUQ50QDB7ZxSCLyQ40k,508174,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",84
118,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,5f7VJjfbwm532GiveGC0ZK,3014831,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",92
119,11IzgLRXV7Cgek3tEgGgjw,Under Pressure - Remastered,Queen,1dfeR4HaWDbWqFHLkxsg1d,21639468,"['glam rock', 'rock']",92
120,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,14625745,"['electropop', 'pop', 'tropical house']",90
121,6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,4r63FhuTkUYltbVAg5TQnk,1371237,"['nc hip hop', 'pop rap', 'rap']",93
122,7x9nXsowok1JszkVztI5NI,Writing on the Wall (feat. Post Malone & Cardi B),French Montana,6vXTefBL93Dj5IqAWq6OTv,3164729,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",85
123,0fySG6A6qLE8IvDpayb5bM,VIBEZ,DaBaby,4r63FhuTkUYltbVAg5TQnk,1371237,"['nc hip hop', 'pop rap', 'rap']",93
124,5099x34vBakWpGkHourFxP,Qué Pena,Maluma,1r4hJ1h58CWwUQe3MxPuau,17708067,"['latin', 'reggaeton']",92
125,6Y4PDQv4XjYjHLeLmvyOt0,Si Te Vas,Sech,77ziqFxp5gaInVrF2lj4ht,1835658,"['panamanian pop', 'reggaeton']",94
126,1APYVaHHRwwTOZighMsgro,Honda Civic - Work Tape,Armors,0m34JtkojthW5WYugFm0e3,14681,"['hopebeat', 'indie pop', 'indie poptimism', 'indie rockism', 'indietronica']",48
127,4fwo6czG5nvOQMzhOto1ya,Lonely (with Jonas Brothers),Diplo,5fMUXHkw8R8eOP2RNVYEZX,2134259,"['bmore', 'edm', 'moombahton', 'ninja', 'pop', 'pop rap']",90
