,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
360,4c1WgUnHXq2LEncGHKgj1I,Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS,3Nrfpe0tUJi4K4DXYWgMUX,14810112,"['k-pop', 'k-pop boy group']",92,0.735,0.74,0,-3.837,0,0.0519,0.0967,0.0,0.101,0.541,141.948,0.74,4c1WgUnHXq2LEncGHKgj1I,spotify:track:4c1WgUnHXq2LEncGHKgj1I,https://api.spotify.com/v1/tracks/4c1WgUnHXq2LEncGHKgj1I,https://api.spotify.com/v1/audio-analysis/4c1WgUnHXq2LEncGHKgj1I,187458,4
361,2jkIbZ43eH3rM1yro2Ojzh,Veleno 7,Gemitaiz,4upwdFMlZBmQ68jP9jPzjK,1389209,['italian hip hop'],80,0.794,0.823,11,-6.731,0,0.0591,0.163,2.57e-05,0.351,0.334,133.025,0.823,2jkIbZ43eH3rM1yro2Ojzh,spotify:track:2jkIbZ43eH3rM1yro2Ojzh,https://api.spotify.com/v1/tracks/2jkIbZ43eH3rM1yro2Ojzh,https://api.spotify.com/v1/audio-analysis/2jkIbZ43eH3rM1yro2Ojzh,173960,4
362,1rYC34UUszS0QzzECNRhYb,Haute (feat. J Balvin & Chris Brown),Tyga,5LHRHt1k9lMyONurDHEdrp,5220379,"['hip hop', 'pop rap', 'rap', 'trap']",91,0.946,0.723,9,-3.692,1,0.114,0.0778,0.0,0.0608,0.349,102.956,0.723,1rYC34UUszS0QzzECNRhYb,spotify:track:1rYC34UUszS0QzzECNRhYb,https://api.spotify.com/v1/tracks/1rYC34UUszS0QzzECNRhYb,https://api.spotify.com/v1/audio-analysis/1rYC34UUszS0QzzECNRhYb,160877,4
363,3xEozpt8pAptvpH69iJhOw,Amor Genuino,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,20329848,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",98,0.434,0.314,10,-7.78,0,0.0577,0.786,0.0,0.163,0.347,175.077,0.314,3xEozpt8pAptvpH69iJhOw,spotify:track:3xEozpt8pAptvpH69iJhOw,https://api.spotify.com/v1/tracks/3xEozpt8pAptvpH69iJhOw,https://api.spotify.com/v1/audio-analysis/3xEozpt8pAptvpH69iJhOw,178160,4
364,1yfyIdEw5U2bD5I6gxQCxW,"Tough Love (feat. Agnes, Vargas & Lagola)",Avicii,1vCWHaC5f2uS3yhpwWbIA6,15989539,"['big room', 'edm', 'pop']",87,0.402,0.754,8,-4.837,1,0.0432,0.143,0.0,0.358,0.621,108.17,0.754,1yfyIdEw5U2bD5I6gxQCxW,spotify:track:1yfyIdEw5U2bD5I6gxQCxW,https://api.spotify.com/v1/tracks/1yfyIdEw5U2bD5I6gxQCxW,https://api.spotify.com/v1/audio-analysis/1yfyIdEw5U2bD5I6gxQCxW,191248,4
365,79JBjIq90BrQ8Ws0pUhlzD,Mad Love,Mabel,1MIVXf74SZHmTIp4V4paH4,499192,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",82,0.622,0.796,0,-2.999,0,0.172,0.667,0.0,0.106,0.62,197.705,0.796,79JBjIq90BrQ8Ws0pUhlzD,spotify:track:79JBjIq90BrQ8Ws0pUhlzD,https://api.spotify.com/v1/tracks/79JBjIq90BrQ8Ws0pUhlzD,https://api.spotify.com/v1/audio-analysis/79JBjIq90BrQ8Ws0pUhlzD,169813,4
366,1D2Aldrksl9yWWCIPOeDzy,All Around The World (La La La),R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1897995,"['big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",84,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,0.859,1D2Aldrksl9yWWCIPOeDzy,spotify:track:1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/tracks/1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/audio-analysis/1D2Aldrksl9yWWCIPOeDzy,147840,4
367,7C7GtWZmyicqjBDbAWPsCp,Tricheur,Nekfeu,4LXBc13z5EWsc5N32bLxfH,1079721,"['french hip hop', 'pop urbaine', 'rap conscient']",80,0.758,0.638,1,-7.984,0,0.253,0.407,0.0,0.178,0.188,137.981,0.638,7C7GtWZmyicqjBDbAWPsCp,spotify:track:7C7GtWZmyicqjBDbAWPsCp,https://api.spotify.com/v1/tracks/7C7GtWZmyicqjBDbAWPsCp,https://api.spotify.com/v1/audio-analysis/7C7GtWZmyicqjBDbAWPsCp,248467,4
368,1IBUPdwV9TvaipSODdt8QY,Maghreb Gang (feat. French Montana & Khaled),Farid Bang,2JwyRtuXf2l6sTnSnGVIa1,627104,['german hip hop'],73,0.738,0.568,8,-5.341,1,0.186,0.0246,0.0,0.146,0.399,99.933,0.568,1IBUPdwV9TvaipSODdt8QY,spotify:track:1IBUPdwV9TvaipSODdt8QY,https://api.spotify.com/v1/tracks/1IBUPdwV9TvaipSODdt8QY,https://api.spotify.com/v1/audio-analysis/1IBUPdwV9TvaipSODdt8QY,159800,4
369,7yfi8B8opXjnRh4VZnOkz9,Cool,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,3264426,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",87,0.683,0.598,0,-5.487,1,0.0423,0.00873,0.0,0.156,0.62,78.969,0.598,7yfi8B8opXjnRh4VZnOkz9,spotify:track:7yfi8B8opXjnRh4VZnOkz9,https://api.spotify.com/v1/tracks/7yfi8B8opXjnRh4VZnOkz9,https://api.spotify.com/v1/audio-analysis/7yfi8B8opXjnRh4VZnOkz9,167107,4
