,Position_two_wks,Track Name,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk
192,,Chicken Noodle Soup (feat. Becky G),,,,114,j-hope,5933462,https://open.spotify.com/track/6wyr4ReB05D9sJB1Rsmcqo
193,,TOES (feat. Lil Baby & Moneybagg Yo),,,,127,DaBaby,5688934,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
194,,Good Thing (with Kehlani),,,,168,Zedd,4923363,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
195,,VALENTINO,,,,179,24kGoldn,4778770,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
196,,Fabergé,,,,181,RIN,4744995,https://open.spotify.com/track/7lnQCEtaDJeMZN75siSxLc
197,,i love you,,,,185,Billie Eilish,4692998,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
198,,Trampoline (with ZAYN),,,,186,SHAED,4692474,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
199,,Stuck In A Dream (feat. Gunna),,,,188,Lil Mosey,4669552,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
183,,Memories,,,,29,Maroon 5,13311859,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
184,,110,,,,35,Capital Bra,11726688,https://open.spotify.com/track/5sdQ7VUx6GOfsRoSxnK1YG
185,,200 km/h,,,,69,Apache 207,7591803,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
186,,INTRO,,,,78,DaBaby,7056413,https://open.spotify.com/track/05WepN8vrMLJG5r8XRdLeL
187,,Quizás,,,,103,Rich Music LTD,6188647,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS
188,,Ronin,,,,108,Bushido,6053873,https://open.spotify.com/track/2l2UsmkfgmRC6fIDwwsiNM
189,,Summer Cem (feat. Luciano),,,,109,Summer Cem,6047678,https://open.spotify.com/track/3QIrkRSTz3yPd44HzN6qJr
190,,Feelings,,,,113,Lauv,5913532,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
191,,No Te Debí Besar,,,,150,C. Tangana,5238187,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
192,,Adriana,,,,154,RAF Camora,5215875,https://open.spotify.com/track/4G3gFk4oyvt8klQEVJBzea
193,,Feel Special,,,,157,TWICE,5077884,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
194,,September,,,,164,"Earth, Wind & Fire",4986728,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
195,,SLOW DANCING IN THE DARK,,,,181,Joji,4639417,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
196,,Cuerpo en Venta,,,,182,Noriel,4616032,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
197,,Heartless (feat. Morgan Wallen),,,,195,Diplo,4495397,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
198,,Murder On My Mind,,,,197,YNW Melly,4452579,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
199,,Wonderwall - Remastered,,,,199,Oasis,4433332,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
185,,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),,,,3,Ariana Grande,32667288,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
186,,Graveyard,,,,31,Halsey,13583667,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
187,,Soltera - Remix,,,,41,Lunay,11669622,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
188,,Behind Barz - Bonus,,,,74,Drake,7127006,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
189,,Camelot,,,,75,NLE Choppa,7093301,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
190,,Que Calor (feat. J Balvin & El Alfa),,,,94,Major Lazer,6585424,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
191,,Panini - DaBaby Remix,,,,101,Lil Nas X,6447178,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
192,,Genick,,,,134,Loredana,5597608,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
193,,Mood Swings,,,,162,A Boogie Wit da Hoodie,5003703,https://open.spotify.com/track/2xE16muNCmhZwSOv3i1d1H
194,,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",,,,163,Justin Quiles,4982128,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
195,,Photograph,,,,194,Ed Sheeran,4469954,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
196,,Closer,,,,196,The Chainsmokers,4440675,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
197,,Get You The Moon (feat. Snøw),,,,197,Kina,4425342,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
198,,Drip Too Hard (Lil Baby & Gunna),,,,199,Lil Baby,4405555,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
199,,Desconocidos,,,,200,Mau y Ricky,4397008,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
174,,Saint-Tropez,,,,4,Post Malone,30900415,https://open.spotify.com/track/7C39RtGhnEw7cyf0Pyw7PV
175,,Hollywood's Bleeding,,,,5,Post Malone,28946369,https://open.spotify.com/track/77Y7tccX9Hx5iClDr39uy9
176,,Take What You Want (feat. Ozzy Osbourne & Travis Scott),,,,6,Post Malone,27875018,https://open.spotify.com/track/4Yq3XUNfWrAPWuB94qkC09
177,,Enemies (feat. DaBaby),,,,7,Post Malone,25861671,https://open.spotify.com/track/6UFEJuDXQMWhL5UH5f9fUR
178,,Die For Me (feat. Future & Halsey),,,,13,Post Malone,22378443,https://open.spotify.com/track/59PYPDxTbqJpiGfyogPb5h
179,,On The Road (feat. Meek Mill & Lil Baby),,,,17,Post Malone,20344215,https://open.spotify.com/track/0hGH0S74Eoyv6mXZcOKtdQ
